Date,Time,Booking_ID,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Canceled_Rides_by_Customer,Reason_for_Canceling_by_Customer,Driver_Not_Moving_Toward_Pickup,Driver_Asked_to_Cancel,AC_Not_Working,Canceled_Rides_by_Driver,Reason_for_Canceling_by_Driver,Incomplete_Rides,Incomplete_Ride_Reason,Booking_Value_INR,Ride_Distance_km,Driver_Rating,Customer_Rating,Overall_Booking_Status
06-10-2025,22:29,CNR6700817283,CUST60701,Prime SUV,Yelahanka,Hoskote,7.54,23.67,0,,No,No,No,0,,0,,415.93,6.06,3.3,4,Success
29-10-2025,21:40,CNR3204205007,CUST20641,Prime Plus,Richmond Town,Nagarbhavi,,,1,Wrong Address,No,No,No,0,,0,,138.45,12.87,,,Cancelled by Customer
08-10-2025,21:53,CNR7636140570,CUST53300,Mini,MG Road,Lalbagh,2.29,19.71,0,,No,No,No,0,,0,,1148.22,8.81,3.9,4.5,Success
26-10-2025,07:53,CNR1849316219,CUST44204,eBike,CV Raman Nagar,JP Nagar Phase 7,2.6,20.04,0,,No,No,No,0,,0,,708.17,11.65,4.5,3.8,Success
26-10-2025,02:40,CNR3275545203,CUST73448,Auto,Kadugodi,Kalyan Nagar,,,0,,No,No,No,1,Customer Sick/Coughing,0,,833.82,19.43,,,Cancelled by Driver
07-10-2025,15:48,CNR5885368800,CUST58916,Mini,Kalyan Nagar,MG Road,7.11,23.34,0,,No,No,No,0,,0,,227.39,4.1,4.7,4.9,Success
20-10-2025,07:02,CNR8536867026,CUST90596,eBike,Marathahalli,Brookefield,12.45,22.85,0,,No,No,No,0,,0,,339.48,4.67,4.6,4,Success
18-10-2025,07:14,CNR9254480240,CUST98958,Mini,Sarjapur Road,Kalyan Nagar,,,0,,No,No,No,1,Customer Sick/Coughing,0,,618.1,18.33,,,Cancelled by Driver
18-10-2025,05:16,CNR3484935241,CUST16417,Mini,Kundalahalli,Koramangala,11.13,24.27,0,,No,No,No,0,,0,,977.38,6.08,3.8,3.2,Success
15-10-2025,18:50,CNR4673741289,CUST90421,Mini,Vijayanagar,Cox Town,7.72,14.68,0,,No,No,No,0,,0,,467.29,4.74,3.7,3.5,Success
20-10-2025,13:47,CNR5079395261,CUST64081,Mini,Indiranagar,Vijayanagar,,,1,Wrong Address,No,No,No,0,,0,,109.9,17.15,,,Cancelled by Customer
22-10-2025,23:46,CNR4775779335,CUST98601,eBike,Rajajinagar,Malleshwaram,,,1,Wrong Address,No,No,No,0,,0,,429.02,14.98,,,Cancelled by Customer
19-10-2025,14:21,CNR4938247251,CUST75709,Mini,Domlur,Electronic City,5.58,20.86,0,,Yes,No,No,0,,0,,949.16,5.67,4.1,3.3,Success
22-10-2025,15:57,CNR6905853365,CUST15384,Auto,Banaswadi,Koramangala,10.19,12.08,0,,No,No,No,0,,0,,750.01,8.36,4.3,3.2,Success
21-10-2025,08:55,CNR8612371287,CUST96431,Prime Plus,Kalyan Nagar,Kundalahalli,,,1,Wrong Address,No,No,No,0,,0,,805.41,7.71,,,Cancelled by Customer
21-10-2025,10:07,CNR1479172064,CUST54692,Mini,Whitefield Main Road,Ulsoor,,,1,Wrong Address,No,No,Yes,0,,0,,146.09,14.87,,,Cancelled by Customer
02-10-2025,00:19,CNR7302237554,CUST70763,Prime Plus,Bannerghatta Road,Yeshwanthpur,,,1,Change of Plans,No,No,No,0,,0,,625.57,14.54,,,Cancelled by Customer
08-10-2025,17:17,CNR1417589308,CUST51323,Auto,Marathahalli,Cox Town,6.91,24.4,0,,No,No,No,0,,0,,444.7,10.06,4.3,4.1,Success
21-10-2025,17:54,CNR7699763386,CUST96826,Auto,Whitefield,Horamavu,,,1,Wrong Address,No,No,No,0,,0,,453.94,12.04,,,Cancelled by Customer
11-10-2025,01:37,CNR8343002665,CUST52871,Auto,Kundalahalli,KR Puram,7.03,8.19,0,,No,No,No,0,,0,,954.03,15.87,4,4.1,Success
18-10-2025,09:44,CNR1390418321,CUST50356,Auto,Ramamurthy Nagar,Marathahalli,4.22,14.63,0,,No,No,No,0,,0,,189.26,14.1,4.3,4.5,Success
23-10-2025,14:46,CNR6260168270,CUST78678,Prime Plus,Hebbal,Yeshwanthpur,6.57,19.8,0,,No,No,No,0,,0,,370.39,18.41,3.7,5,Success
13-10-2025,06:53,CNR7945031990,CUST54920,Mini,Sanjay Nagar,Hennur,13.61,11.61,0,,No,No,No,0,,0,,147.32,5.79,4.1,4.1,Success
31-10-2025,03:34,CNR9307188021,CUST28827,Prime SUV,Hennur,Peenya,,,0,,No,No,Yes,1,Too Many People,0,,287.89,10.22,,,Cancelled by Driver
09-10-2025,02:22,CNR4636497385,CUST72096,Prime SUV,RT Nagar,Kadugodi,6.84,16.34,0,,No,No,No,0,,0,,308.97,8.78,4.8,3.2,Success
09-10-2025,12:01,CNR4766442478,CUST63756,eBike,Whitefield Main Road,HSR Layout,8.48,14.64,0,,No,No,No,0,,0,,423.15,6.87,4.3,4.6,Success
17-10-2025,10:54,CNR1434501482,CUST33067,eBike,Ulsoor,Bellandur,8.24,23.19,0,,No,No,No,0,,0,,273.6,13.72,3.1,3.5,Success
07-10-2025,09:10,CNR4587206749,CUST48171,Mini,MG Road,HSR Layout,2.02,7.37,0,,No,No,No,0,,0,,191.77,18.19,4.2,3.1,Success
09-10-2025,15:03,CNR1918306625,CUST89057,Auto,Bellandur,Kalyan Nagar,,,0,,No,No,No,1,Customer Sick/Coughing,0,,1567.01,6.13,,,Cancelled by Driver
22-10-2025,14:38,CNR4072158864,CUST34423,Prime Plus,BTM 2nd Stage,Hennur,,,0,,No,No,No,1,Personal Car Issue,0,,417.65,11.17,,,Cancelled by Driver
01-10-2025,18:57,CNR6735618893,CUST94649,Auto,Ulsoor,Lalbagh,11.39,18.06,0,,No,No,No,0,,0,,190.61,18.47,4.5,4.5,Success
02-10-2025,11:52,CNR7584417117,CUST75858,Mini,Domlur,Bannerghatta Road,,,1,Change of Plans,Yes,No,No,0,,0,,783.37,12.43,,,Cancelled by Customer
04-10-2025,18:45,CNR7888137336,CUST26887,Auto,Horamavu,Koramangala 5th Block,10.98,14.41,0,,No,No,No,0,,0,,345.15,16.15,4.7,4.5,Success
14-10-2025,09:51,CNR6477377536,CUST39922,Auto,Yelahanka,Whitefield,,,0,,Yes,No,No,1,Too Many People,0,,580.08,3.82,,,Cancelled by Driver
04-10-2025,15:26,CNR5460071564,CUST97885,Mini,Richmond Town,HSR Sector 2,5.42,6.45,0,,No,No,No,0,,0,,215.52,2.27,3.5,4.2,Success
02-10-2025,03:06,CNR7305486191,CUST22182,Auto,Kalyan Nagar,Banashankari,3.48,22.59,0,,No,No,No,0,,0,,109.38,13.75,3.4,4.2,Success
08-10-2025,03:03,CNR3610639406,CUST66954,Prime Plus,MG Road,Kundalahalli,3.13,16.96,0,,No,Yes,No,0,,0,,816.45,11.77,4,4.3,Success
18-10-2025,15:36,CNR9024068142,CUST48432,eBike,Ramamurthy Nagar,Yelahanka,,,1,Change of Plans,No,No,No,0,,0,,388.99,4.54,,,Cancelled by Customer
19-10-2025,15:25,CNR4097610702,CUST68455,Auto,JP Nagar,Whitefield Main Road,6.98,14.19,0,,No,No,No,0,,0,,919.22,16.86,3.3,3.1,Success
14-10-2025,09:56,CNR7434440903,CUST74881,Auto,Jayanagar,JP Nagar Phase 7,7.4,24.02,0,,No,No,No,0,,0,,485.7,19.7,3.8,4.2,Success
20-10-2025,14:23,CNR3102797998,CUST27187,Auto,Kundalahalli,Peenya,11.03,22.04,0,,No,No,No,0,,0,,364.98,11.54,3.2,3,Success
25-10-2025,09:43,CNR6299962942,CUST68724,Mini,Ramamurthy Nagar,Peenya,8.03,9.9,0,,No,No,No,0,,0,,226.64,13.6,3.6,3.5,Success
10-10-2025,23:22,CNR6510024304,CUST55126,Auto,Horamavu,Koramangala,,,0,,No,No,No,0,,1,Customer Demand,965.01,8.95,,,Incomplete
17-10-2025,13:21,CNR8709041803,CUST89460,Prime SUV,Sanjay Nagar,Banashankari,11.17,5.55,0,,No,No,No,0,,0,,403.37,8.6,3.3,4.9,Success
08-10-2025,14:09,CNR2044655773,CUST30390,Prime Plus,BTM 2nd Stage,Marathahalli,,,0,,No,No,No,1,Personal Car Issue,0,,305.3,1.38,,,Cancelled by Driver
28-10-2025,16:36,CNR9088744859,CUST83396,Auto,BTM 2nd Stage,Kalyan Nagar,,,0,,No,No,No,1,Too Many People,0,,161.85,7.53,,,Cancelled by Driver
31-10-2025,14:09,CNR9762970630,CUST51364,Auto,Bannerghatta Road,JP Nagar,6.89,15.62,0,,No,No,No,0,,0,,194.71,4.94,3.1,4.5,Success
14-10-2025,05:24,CNR8283993287,CUST53120,Mini,Cox Town,Vijayanagar,14.71,23.81,0,,No,No,No,0,,0,,362.39,11.98,3.1,3.7,Success
21-10-2025,21:36,CNR6445185338,CUST64404,Prime SUV,HSR Sector 2,Nagawara,,,0,,No,No,No,0,,1,Other Issue,195.04,10.5,,,Incomplete
23-10-2025,06:18,CNR6739271421,CUST68896,Prime Plus,JP Nagar Phase 7,Nagawara,8.19,14.38,0,,No,No,No,0,,0,,197.91,18.56,4.5,3.4,Success
08-10-2025,16:21,CNR7439344744,CUST35708,Auto,Ulsoor,Yelahanka,3.28,22.42,0,,No,No,No,0,,0,,295.22,10.78,4.5,4.9,Success
31-10-2025,08:43,CNR5468372566,CUST32911,Prime Plus,Whitefield Main Road,Lalbagh,,,0,,No,No,No,1,Customer Related Issue,0,,278.4,17.97,,,Cancelled by Driver
05-10-2025,00:48,CNR8024686929,CUST78787,Prime SUV,Hoskote,Mahadevapura,,,0,,No,No,No,0,,1,Other Issue,110.15,7.21,,,Incomplete
16-10-2025,06:37,CNR8040102689,CUST54708,Prime Plus,Rajajinagar,CV Raman Nagar,2.31,11.42,0,,No,No,No,0,,0,,334.14,5.75,4.9,4.3,Success
08-10-2025,00:38,CNR9449805066,CUST36782,Mini,BTM Layout,Bellandur,2.92,20.66,0,,No,No,Yes,0,,0,,486.19,12.01,3.6,4,Success
10-10-2025,16:16,CNR3265350247,CUST95655,Prime Plus,Frazer Town,Koramangala 5th Block,3.75,17.01,0,,No,No,No,0,,0,,963.51,9.25,4.4,4.5,Success
27-10-2025,21:24,CNR4520630292,CUST34977,Mini,Ramamurthy Nagar,Marathahalli,14.61,6.23,0,,No,No,No,0,,0,,109.12,9.83,3.5,3.4,Success
08-10-2025,16:54,CNR7883474182,CUST46785,Prime SUV,Domlur,Vijayanagar,4.3,14.33,0,,No,No,No,0,,0,,300.31,17.91,3.8,4.6,Success
09-10-2025,11:47,CNR8229613877,CUST49940,Mini,Nagarbhavi,Basavanagudi,8.85,14.91,0,,No,No,No,0,,0,,721.88,11.49,4.6,4.8,Success
18-10-2025,13:00,CNR5568843802,CUST68365,Prime SUV,Domlur,MG Road,,,1,Wrong Address,No,No,No,0,,0,,196.75,16.35,,,Cancelled by Customer
03-10-2025,13:24,CNR8514325145,CUST93504,Mini,Jayanagar,BTM 2nd Stage,6.53,23.93,0,,No,No,No,0,,0,,829.7,13.86,4.5,3.6,Success
17-10-2025,23:37,CNR5140826724,CUST25524,Prime SUV,Koramangala,Yelahanka,8.5,11.72,0,,No,No,No,0,,0,,247.12,7.68,3.8,4.5,Success
20-10-2025,23:38,CNR7889130525,CUST78661,Mini,Basavanagudi,Varthur,,,0,,Yes,No,No,0,,1,Customer Demand,430.65,17.67,,,Incomplete
15-10-2025,05:59,CNR6800232564,CUST98145,Mini,Rajajinagar,MG Road,,,0,,No,No,No,1,Customer Related Issue,0,,726.58,6.09,,,Cancelled by Driver
31-10-2025,20:45,CNR5590487887,CUST91999,eBike,Domlur,Rajajinagar,12.25,11.9,0,,No,No,No,0,,0,,347.3,2.15,3.1,3,Success
21-10-2025,13:04,CNR6919945263,CUST92814,Auto,Ramamurthy Nagar,Cox Town,,,1,Change of Plans,No,No,No,0,,0,,115.34,9.87,,,Cancelled by Customer
27-10-2025,06:33,CNR6796411571,CUST16726,Auto,Domlur,Indiranagar,2.71,15.94,0,,No,No,No,0,,0,,420.36,1.51,3.5,3.9,Success
17-10-2025,04:59,CNR3635849579,CUST74993,Auto,MG Road,Banaswadi,3.7,20.59,0,,No,No,No,0,,0,,343.26,13.2,4.9,4.2,Success
08-10-2025,13:50,CNR5527863402,CUST38137,Auto,Frazer Town,Sarjapur Road,,,1,Change of Plans,No,No,No,0,,0,,384.73,16.16,,,Cancelled by Customer
02-10-2025,17:30,CNR2418250881,CUST58334,Prime SUV,Yelahanka,BTM Layout,9.61,21.89,0,,No,No,No,0,,0,,376,5.1,3.4,4.3,Success
17-10-2025,01:39,CNR7783921606,CUST55764,Auto,Lalbagh,Nagawara,,,0,,No,No,No,1,Customer Related Issue,0,,844.32,11.82,,,Cancelled by Driver
18-10-2025,14:56,CNR3645619464,CUST49938,Auto,Bannerghatta Road,Domlur,14.74,16.02,0,,No,No,No,0,,0,,917.48,17.33,3.6,3.2,Success
31-10-2025,14:56,CNR4441236343,CUST73826,Prime Plus,Kadugodi,Frazer Town,7.2,5.82,0,,No,No,No,0,,0,,354.84,5.37,4.8,3.8,Success
29-10-2025,14:28,CNR4198961560,CUST61141,Mini,Mahadevapura,RT Nagar,6.16,18.91,0,,No,No,No,0,,0,,173.87,4.06,3.8,3.2,Success
05-10-2025,19:23,CNR1944145162,CUST79712,eBike,Hoodi,RT Nagar,,,1,Change of Plans,No,No,No,0,,0,,203.27,1.34,,,Cancelled by Customer
09-10-2025,14:02,CNR7939927803,CUST76933,Mini,Hebbal,Varthur,,,1,Wrong Address,No,No,No,0,,0,,275.92,17.09,,,Cancelled by Customer
09-10-2025,20:13,CNR4089480891,CUST36604,Mini,BTM 2nd Stage,Kalyan Nagar,,,0,,No,No,No,1,Customer Related Issue,0,,376.39,15.36,,,Cancelled by Driver
02-10-2025,18:36,CNR7789621003,CUST67638,Prime Plus,JP Nagar,Vijayanagar,12.29,8.64,0,,No,No,No,0,,0,,121.85,16.6,4.6,3.5,Success
02-10-2025,13:09,CNR5654304912,CUST70833,Prime SUV,Cox Town,HSR Sector 2,,,0,,No,No,No,1,Too Many People,0,,475.07,11.12,,,Cancelled by Driver
19-10-2025,12:14,CNR2033795493,CUST14255,Auto,Banashankari,Koramangala,,,1,Wrong Address,No,No,No,0,,0,,120.82,5.63,,,Cancelled by Customer
23-10-2025,15:29,CNR5208553986,CUST58879,Prime Plus,Kalyan Nagar,Kadugodi,6.42,8.55,0,,No,No,No,0,,0,,370.56,12.78,4.7,3.7,Success
27-10-2025,18:11,CNR9241258448,CUST59153,eBike,Kundalahalli,Hoskote,2.53,22.97,0,,No,No,No,0,,0,,233.03,17.3,3.9,3.6,Success
03-10-2025,23:51,CNR9935191088,CUST98936,Auto,JP Nagar Phase 7,Jayanagar,,,0,,Yes,No,No,1,Customer Related Issue,0,,318.27,4.24,,,Cancelled by Driver
17-10-2025,14:04,CNR7842966893,CUST74672,eBike,Banaswadi,Brookefield,,,0,,No,No,No,0,,1,Vehicle Breakdown,665.55,12.89,,,Incomplete
14-10-2025,21:50,CNR2296616591,CUST49948,Prime Plus,Hoodi,Sanjay Nagar,8.2,13.32,0,,No,No,No,0,,0,,276.05,3.71,3.4,5,Success
14-10-2025,02:03,CNR5807682074,CUST46117,Auto,HSR Layout,Electronic City,9.39,24.62,0,,No,No,No,0,,0,,511.57,19.3,3.9,3.1,Success
14-10-2025,14:48,CNR5296988560,CUST94454,Prime Plus,Peenya,CV Raman Nagar,7.37,6.02,0,,No,No,No,0,,0,,479.93,10.04,3.4,4,Success
06-10-2025,07:22,CNR8783229988,CUST91575,eBike,Ulsoor,Frazer Town,12.15,10.56,0,,No,No,No,0,,0,,455.84,10.99,3.1,3.7,Success
03-10-2025,03:08,CNR1866147022,CUST90264,Auto,Yeshwanthpur,Vijayanagar,10.47,11.56,0,,No,No,No,0,,0,,177.79,16.85,4.8,4.7,Success
01-10-2025,17:38,CNR9651979803,CUST61740,Mini,Sanjay Nagar,CV Raman Nagar,12.53,18.39,0,,No,No,No,0,,0,,288.3,16.66,4.8,3.2,Success
30-10-2025,13:11,CNR5974611711,CUST53038,Mini,Kalyan Nagar,Ulsoor,,,0,,Yes,No,No,1,Customer Related Issue,0,,484,10.92,,,Cancelled by Driver
16-10-2025,05:42,CNR1986217653,CUST52107,eBike,Kadugodi,Hebbal,10.97,18.41,0,,No,No,No,0,,0,,677.42,13.39,3.7,3.4,Success
29-10-2025,01:26,CNR6972701644,CUST37987,Prime Plus,Ramamurthy Nagar,Sanjay Nagar,9.7,13.79,0,,No,No,No,0,,0,,274.78,15.08,3.6,4.7,Success
04-10-2025,17:57,CNR5793794492,CUST59098,Prime Plus,Malleshwaram,Hoskote,6.11,10.52,0,,No,No,No,0,,0,,493.12,7.49,4.8,3.2,Success
29-10-2025,20:58,CNR7731876210,CUST75080,Prime SUV,Yelahanka,Rajajinagar,7.83,6.24,0,,No,No,No,0,,0,,303.87,17.05,4.6,3.8,Success
01-10-2025,05:18,CNR4737391153,CUST62435,Auto,CV Raman Nagar,Nagarbhavi,,,1,Change of Plans,No,No,No,0,,0,,822.94,5.48,,,Cancelled by Customer
17-10-2025,06:10,CNR1846446996,CUST58961,Prime SUV,Horamavu,Hoodi,10.63,7.16,0,,No,No,No,0,,0,,337.28,2.45,4.1,4.2,Success
28-10-2025,07:12,CNR7380352654,CUST13753,Prime Plus,Electronic City,Indiranagar,12.85,20.49,0,,No,No,No,0,,0,,245.44,2.07,4.9,4.4,Success
18-10-2025,21:49,CNR3759411167,CUST83992,Auto,Basavanagudi,Hebbal,4.25,6.63,0,,No,No,No,0,,0,,222.91,7.14,4,3.4,Success
26-10-2025,07:03,CNR8297171290,CUST18892,Auto,Peenya,Bannerghatta Road,,,0,,No,No,No,1,Personal Car Issue,0,,907.49,9.61,,,Cancelled by Driver
08-10-2025,04:13,CNR5129995308,CUST21664,Auto,Sanjay Nagar,BTM Layout,8.68,24.66,0,,No,No,No,0,,0,,228.68,3.45,3.9,3.2,Success
02-10-2025,19:37,CNR7883134956,CUST46894,eBike,Bellandur,Electronic City,6.4,19.05,0,,No,No,No,0,,0,,310.39,4.88,3.1,4.8,Success
27-10-2025,07:16,CNR6594637756,CUST57545,Mini,MG Road,Whitefield Main Road,,,0,,No,No,No,0,,1,Other Issue,830.13,5.81,,,Incomplete
18-10-2025,08:24,CNR9488810443,CUST14692,Auto,Hennur,Malleshwaram,4,12.24,0,,No,No,No,0,,0,,197.57,1.24,3.9,4.1,Success
31-10-2025,00:50,CNR3202023880,CUST57220,Prime SUV,Sanjay Nagar,Koramangala 5th Block,,,0,,No,No,Yes,1,Customer Related Issue,0,,307.72,3.85,,,Cancelled by Driver
27-10-2025,12:52,CNR9544985827,CUST21440,eBike,Cox Town,Richmond Town,4,11.72,0,,No,No,No,0,,0,,354.34,13.24,5,4.8,Success
27-10-2025,22:56,CNR6808631684,CUST32245,Auto,Sanjay Nagar,Vijayanagar,12.21,14.49,0,,No,No,No,0,,0,,228.88,14.13,4.3,3.9,Success
16-10-2025,00:53,CNR7272179412,CUST24291,Prime Plus,Malleshwaram,Domlur,9.77,21,0,,No,No,No,0,,0,,489.75,2.35,4.9,3.2,Success
26-10-2025,12:36,CNR6832459376,CUST27711,Auto,Whitefield,Lalbagh,4.99,22.3,0,,No,No,No,0,,0,,315.1,2.24,4,5,Success
10-10-2025,08:45,CNR6041671113,CUST62682,Mini,Yeshwanthpur,HSR Layout,,,1,Wrong Address,No,No,No,0,,0,,478.3,13.45,,,Cancelled by Customer
08-10-2025,07:43,CNR1349369485,CUST19713,Mini,Kalyan Nagar,Horamavu,12.31,18.99,0,,No,No,No,0,,0,,706.79,7.52,4.1,3.8,Success
12-10-2025,00:25,CNR3572746518,CUST82192,Prime Plus,Whitefield Main Road,BTM Layout,,,0,,No,No,No,0,,1,Customer Demand,1429.84,1.23,,,Incomplete
22-10-2025,19:22,CNR8017320281,CUST20908,Mini,Nagawara,Hoodi,12.92,12.96,0,,No,No,No,0,,0,,297.45,13.96,4.8,3.8,Success
16-10-2025,20:08,CNR4936687902,CUST52075,Prime SUV,JP Nagar,Bannerghatta Road,9.31,6.19,0,,No,No,No,0,,0,,351.05,10.1,3.9,3.7,Success
12-10-2025,06:21,CNR4781159272,CUST88859,Mini,Ulsoor,Varthur,6.86,21.12,0,,No,No,No,0,,0,,431.38,17.73,4,5,Success
11-10-2025,14:34,CNR7123068491,CUST59579,Mini,JP Nagar Phase 7,Whitefield Main Road,5.59,10.49,0,,No,No,No,0,,0,,949.45,1.34,3.3,4.2,Success
20-10-2025,12:20,CNR8259174257,CUST53731,Prime Plus,Banaswadi,Whitefield,12.51,17.79,0,,No,No,No,0,,0,,477.29,2.54,4.6,4.5,Success
19-10-2025,04:38,CNR5046500802,CUST38037,Auto,JP Nagar,Nagarbhavi,,,0,,No,No,No,0,,1,Customer Demand,402.2,10,,,Incomplete
01-10-2025,09:05,CNR4260704417,CUST55495,Prime SUV,Koramangala 5th Block,RT Nagar,11.96,14.84,0,,No,No,No,0,,0,,630.01,12.75,3.2,3.4,Success
27-10-2025,04:32,CNR1319198983,CUST72688,eBike,Cox Town,Nagarbhavi,2.38,12.38,0,,No,No,No,0,,0,,394.09,13.39,4.5,3.8,Success
03-10-2025,10:15,CNR8042527208,CUST55259,Mini,Indiranagar,Malleshwaram,14.02,24.94,0,,No,No,No,0,,0,,314.35,14.39,4.1,3.5,Success
12-10-2025,15:45,CNR8828943275,CUST41865,Auto,Sarjapur Road,Malleshwaram,3.7,16.85,0,,No,No,No,0,,0,,735.01,16.67,4,3.3,Success
30-10-2025,01:02,CNR4209225158,CUST83843,eBike,Basavanagudi,Horamavu,11.8,8.99,0,,No,No,No,0,,0,,182.72,18.24,4.3,3.6,Success
09-10-2025,12:55,CNR6755966612,CUST11244,Mini,Hennur,Nagawara,,,0,,No,No,No,0,,1,Customer Demand,447.18,19.66,,,Incomplete
21-10-2025,08:16,CNR7558310727,CUST38282,Mini,Mahadevapura,Richmond Town,14.35,21.23,0,,No,No,Yes,0,,0,,176.55,15.82,4.6,4.5,Success
29-10-2025,16:56,CNR7122572791,CUST36369,Mini,Hoodi,Ramamurthy Nagar,,,1,Wrong Address,No,No,No,0,,0,,457.31,14.87,,,Cancelled by Customer
22-10-2025,17:21,CNR4557298920,CUST25901,Prime SUV,Mahadevapura,Yelahanka,11.32,11.62,0,,No,No,No,0,,0,,486.26,3.7,4.4,4.2,Success
05-10-2025,09:34,CNR3948248752,CUST11155,Auto,HSR Sector 2,Nagarbhavi,7.02,9.62,0,,Yes,No,No,0,,0,,733.66,18.6,3.6,4.3,Success
01-10-2025,15:49,CNR4496469978,CUST91197,Auto,Malleshwaram,Peenya,3.99,10.92,0,,No,No,No,0,,0,,116.73,9.23,4.9,4.7,Success
10-10-2025,10:15,CNR5968793331,CUST33601,Prime SUV,HSR Sector 2,JP Nagar Phase 7,7.3,11.24,0,,No,No,No,0,,0,,247.87,12.78,3.7,4.6,Success
17-10-2025,03:07,CNR5605573526,CUST71661,Auto,Brookefield,CV Raman Nagar,,,1,Change of Plans,No,No,No,0,,0,,142.04,6.69,,,Cancelled by Customer
04-10-2025,18:40,CNR7309979106,CUST85329,Prime SUV,Kadugodi,Bellandur,,,1,Wrong Address,No,No,No,0,,0,,360.84,2.52,,,Cancelled by Customer
15-10-2025,16:50,CNR7500920744,CUST48713,Auto,Peenya,Jayanagar,9.64,16.72,0,,No,No,No,0,,0,,332.59,17.63,4.9,4.4,Success
19-10-2025,00:16,CNR7274893454,CUST86300,eBike,Kadugodi,RT Nagar,,,0,,No,No,No,1,Too Many People,0,,465.43,8.94,,,Cancelled by Driver
27-10-2025,05:23,CNR5240038537,CUST98748,Prime SUV,HSR Sector 2,Bellandur,13.26,16.29,0,,No,No,No,0,,0,,281.8,18.93,4.8,4.1,Success
08-10-2025,11:19,CNR1570707489,CUST96375,Mini,Nagarbhavi,HSR Sector 2,,,1,Wrong Address,No,No,Yes,0,,0,,975.69,15.44,,,Cancelled by Customer
28-10-2025,04:33,CNR2628682087,CUST24275,Mini,Kadugodi,Vijayanagar,,,1,Change of Plans,Yes,No,No,0,,0,,205.04,1.6,,,Cancelled by Customer
28-10-2025,00:20,CNR3514247586,CUST30799,Auto,Nagarbhavi,Hennur,5.27,21.59,0,,Yes,No,No,0,,0,,1141.05,14.9,5,4.9,Success
23-10-2025,07:28,CNR5132843757,CUST92994,Auto,Koramangala,Vijayanagar,14.15,18.74,0,,No,No,No,0,,0,,589.53,4.71,4.8,3.5,Success
15-10-2025,13:48,CNR1185288331,CUST93628,Prime SUV,Hennur,BTM Layout,,,0,,No,No,No,1,Personal Car Issue,0,,717.25,8.3,,,Cancelled by Driver
27-10-2025,09:08,CNR3121530386,CUST60319,eBike,Koramangala 5th Block,Frazer Town,4.34,18.14,0,,No,Yes,No,0,,0,,350.55,2.49,3.7,4.3,Success
31-10-2025,11:21,CNR9725260800,CUST24400,Auto,RT Nagar,Brookefield,,,0,,No,No,No,0,,1,Customer Demand,214.7,10.13,,,Incomplete
07-10-2025,00:30,CNR5039828348,CUST45159,eBike,Marathahalli,Yeshwanthpur,,,0,,No,No,No,1,Personal Car Issue,0,,218.75,10.65,,,Cancelled by Driver
15-10-2025,17:55,CNR8901455637,CUST71025,Prime Plus,Hoodi,Hebbal,7.66,17.07,0,,No,No,No,0,,0,,212.29,9.56,4.4,3.2,Success
08-10-2025,13:35,CNR7732531466,CUST79985,Mini,Nagarbhavi,Bellandur,,,0,,No,No,No,1,Customer Sick/Coughing,0,,1376.74,17.94,,,Cancelled by Driver
30-10-2025,16:40,CNR2085158574,CUST83414,Auto,CV Raman Nagar,Banaswadi,7.86,13.52,0,,No,No,No,0,,0,,342.31,16.86,3.5,3.1,Success
26-10-2025,14:34,CNR4695216906,CUST47433,Prime Plus,Electronic City,Whitefield Main Road,,,0,,No,No,No,0,,1,Other Issue,153.36,1.34,,,Incomplete
23-10-2025,12:01,CNR7996562036,CUST81191,Prime Plus,Yelahanka,Hennur,,,0,,No,No,No,1,Customer Related Issue,0,,438.86,15.21,,,Cancelled by Driver
10-10-2025,21:11,CNR7069142144,CUST15901,Mini,Nagawara,Malleshwaram,8.58,24.77,0,,No,No,Yes,0,,0,,957.11,13.75,3.9,4.4,Success
18-10-2025,01:14,CNR6723376753,CUST11823,Mini,JP Nagar,JP Nagar Phase 7,9.82,10.24,0,,No,No,No,0,,0,,351.69,3.97,3.8,3.8,Success
04-10-2025,23:37,CNR5809370294,CUST20022,Mini,Nagarbhavi,Frazer Town,,,1,Wrong Address,No,No,No,0,,0,,219.49,10.39,,,Cancelled by Customer
15-10-2025,04:10,CNR7143107045,CUST27871,Auto,Cox Town,Electronic City,14.17,20.77,0,,No,No,No,0,,0,,663.39,6.1,4.9,3.5,Success
11-10-2025,03:15,CNR6722705217,CUST36872,Auto,Frazer Town,Brookefield,6.88,15.22,0,,No,No,No,0,,0,,183.92,11.63,4.3,4.8,Success
22-10-2025,02:58,CNR5481166926,CUST72671,Auto,Electronic City,Yeshwanthpur,10.04,13.17,0,,No,No,No,0,,0,,351.48,8.74,3.4,3.5,Success
03-10-2025,15:02,CNR8896697092,CUST66362,Prime SUV,Lalbagh,HSR Layout,,,1,Change of Plans,No,No,No,0,,0,,241.9,5.53,,,Cancelled by Customer
15-10-2025,02:39,CNR9616683335,CUST72935,Prime SUV,Bannerghatta Road,Kalyan Nagar,,,1,Wrong Address,No,Yes,No,0,,0,,185.9,3.3,,,Cancelled by Customer
03-10-2025,22:57,CNR8569060254,CUST27380,eBike,Yeshwanthpur,Hebbal,5.84,10.58,0,,No,No,No,0,,0,,413.91,15.55,3.9,4.3,Success
